address,zip_code,price,date,rooms,m2,built,m2_price
Højdevangs Allé  35,2300,1210600.0,05-03-1995,7,179,1926,6763.128491620112
Dronning Elisabeths Allé  9,2300,10800000.0,20-08-2020,9,226,1896,47787.61061946903
Dronning Elisabeths Allé  5,2300,10000000.0,30-07-2020,9,202,1890,49504.9504950495
Dronning Elisabeths Allé  7,2300,9400000.0,22-07-2020,8,206,1897,45631.06796116505
Dronning Elisabeths Allé  10,2300,7295000.0,06-08-2017,8,218,1896,33463.30275229358
Dronning Elisabeths Allé  8,2300,4608000.0,06-01-2013,7,198,1899,23272.727272727272
Skipper Clements Allé  11,2300,9550000.0,25-09-2020,5,162,1899,58950.61728395062
Skipper Clements Allé  4,2300,12995000.0,22-05-2018,8,248,1895,52399.1935483871
Skipper Clements Allé  9,2300,3995000.0,12-04-2011,6,174,1900,22959.77011494253
Skipper Clements Allé  8,2300,2600000.0,17-05-2000,3,178,1900,14606.741573033707
Skipper Clements Allé  14,2300,770000.0,14-12-1992,11,334,1900,2305.3892215568862
Søren Norbys Allé  17,2300,1100000.0,07-01-1999,5,177,1900,6214.689265536723
Dyvekes Allé  6,2300,5200000.0,30-01-2013,9,268,1898,19402.985074626864
Dyvekes Allé  9,2300,714720.0,15-02-1994,9,294,1898,2431.0204081632655
Torben Oxes Allé  7,2300,6650000.0,07-05-2017,5,167,1980,39820.35928143712
Sigbrits Allé  10,2300,12995000.0,17-10-2021,8,223,1900,58273.542600896864
Sigbrits Allé  11,2300,7450000.0,18-03-2018,7,182,1896,40934.06593406593
Sigbrits Allé  8,2300,5365750.0,24-01-2011,9,220,1900,24389.772727272728
Sigbrits Allé  12,2300,4600000.0,28-08-2010,5,175,1899,26285.714285714286
Sigbrits Allé  4,2300,6755000.0,02-10-2005,6,189,1903,35740.74074074074
Ove Billes Vej  14,2300,9800000.0,31-08-2023,8,252,1969,38888.88888888889
Ove Billes Vej  4,2300,9050000.0,01-06-2023,6,134,1957,67537.31343283581
Ove Billes Vej  8,2300,8050000.0,09-12-2020,4,145,1923,55517.24137931035
Ove Billes Vej  10,2300,8275000.0,13-03-2019,7,253,1939,32707.509881422924
Ove Billes Vej  13,2300,5100000.0,01-10-2015,7,196,1928,26020.408163265307
Ove Billes Vej  12,2300,4400000.0,28-05-2015,5,178,1980,24719.101123595505
Ove Billes Vej  3,2300,1254000.0,05-01-1996,6,155,1927,8090.322580645161
Ove Billes Vej  5,2300,1113400.0,20-04-1995,7,126,1927,8836.507936507936
Tyge Krabbes Vej  14,2300,8850000.0,19-09-2023,5,166,1938,53313.25301204819
Tyge Krabbes Vej  10,2300,9200000.0,05-07-2020,5,157,1922,58598.72611464968
Tyge Krabbes Vej  8,2300,8300000.0,26-04-2020,5,160,1923,51875.0
Tyge Krabbes Vej  4,2300,4650000.0,23-03-2014,6,160,1920,29062.5
Tyge Krabbes Vej  9,2300,1650000.0,09-09-2010,8,178,1931,9269.662921348314
Tyge Krabbes Vej  3,2300,2900000.0,16-09-2008,7,202,1921,14356.435643564357
Tyge Krabbes Vej  12B,2300,5500000.0,19-05-2007,9,199,1920,27638.19095477387
Tyge Krabbes Vej  7,2300,4210000.0,18-06-2003,4,279,1936,15089.605734767025
Otto Ruds Vej  4,2300,15505000.0,28-06-2022,7,227,1920,68303.96475770925
Otto Ruds Vej  8,2300,6895000.0,14-09-2020,5,202,2022,34133.66336633663
Peder Lykkes Vej  42,2300,8800000.0,12-11-2023,7,169,1925,52071.00591715976
Peder Lykkes Vej  35,2300,4906500.0,18-12-2022,3,96,1939,51109.375
Peder Lykkes Vej  23,2300,13400000.0,09-02-2022,11,293,1929,45733.788395904434
Peder Lykkes Vej  38,2300,13500000.0,17-11-2021,8,259,1934,52123.55212355212
